user_id,place_id,rating
1,1,1
1,2,2
1,3,3
1,4,4
1,5,5
2,6,1
2,7,2
2,8,3
2,9,4
2,10,5
3,1,1
3,2,2
3,3,3
3,4,4
3,5,5
4,6,1
4,7,2
4,8,3
4,9,4
4,10,5
5,1,1
5,2,2
5,3,3
5,4,4
5,5,5
6,6,1
6,7,2
6,8,3
6,9,4
6,10,5
7,1,1
7,2,2
7,3,3
7,4,4
7,5,5
8,6,1
8,7,2
8,8,3
8,9,4
8,10,5
9,1,1
9,2,2
9,3,3
9,4,4
9,5,5
10,6,1
10,7,2
10,8,3
10,9,4
10,10,5
11,1,1
11,2,2
11,3,3
11,4,4
11,5,5
12,6,1
12,7,2
12,8,3
12,9,4
12,10,5
13,1,1
13,2,2
13,3,3
13,4,4
13,5,5
14,6,1
14,7,2
14,8,3
14,9,4
14,10,5
15,1,1
15,2,2
15,3,3
15,4,4
15,5,5
16,6,1
16,7,2
16,8,3
16,9,4
16,10,5
17,1,1
17,2,2
17,3,3
17,4,4
17,5,5
18,6,1
18,7,2
18,8,3
18,9,4
18,10,5
19,1,1
19,2,2
19,3,3
19,4,4
19,5,5
20,6,1
20,7,2
20,8,3
20,9,4
20,10,5
